,return,risk
CRB.PL,-0.03,0.1
PSH.PL,-0.02,0.24
STP.PL,0.01,0.11
EDI.PL,0.01,0.13
DAT.PL,-0.05,0.13
SFD.PL,0.03,0.15
ATR.PL,0.1,0.27
MAB.PL,-0.04,0.2
CPS.PL_9,-0.03,0.07
NVT.PL,-0.01,0.13
PCX.PL,0.02,0.12
LTM.PL,-0.09,0.19
K2H.PL,0.03,0.08
ALL.PL,0.03,0.09
MBK.PL_4,-0.01,0.13
IZS.PL,0.01,0.09
KRI.PL,-0.03,0.09
AGT.PL,-0.02,0.12
RBW.PL,0.03,0.1
GBK.PL,,
LKD.PL,0.01,0.11
NTT.PL,0.01,0.08
KBT.PL,-0.03,0.21
WSE.PL,0.0,0.09
IZB.PL,-0.02,0.11
LTX.PL,-0.01,0.07
ODL.PL,0.05,0.08
ACT.PL,0.03,0.1
MDP.PL,-0.03,0.14
KGH.PL_4,-0.0,0.12
AML.PL,0.02,0.06
OBL.PL,0.02,0.1
CIE.PL_4,0.01,0.11
EUR.PL_4,0.04,0.13
KRU.PL_9,0.02,0.14
INC.PL,-0.03,0.15
ETL.PL,0.05,0.09
PLI.PL,0.01,0.08
EAT.PL_9,-0.0,0.09
JSW.PL_4,0.03,0.24
SHO.PL,-0.03,0.11
BDX.PL_9,0.03,0.08
LWB.PL_4,0.03,0.2
MLK.PL,-0.02,0.1
TPE.PL_4,0.01,0.12
NVV.PL,0.11,0.91
4MS.PL,0.72,2.75
JRC.PL,-0.0,0.09
EHG.PL,-0.08,0.15
WLT.PL,0.01,0.1
SET.PL,-0.05,0.17
CIG.PL,0.09,0.16
MSW.PL,-0.0,0.08
DPL.PL,0.0,0.12
HRP.PL,-0.01,0.15
KVT.PL,-0.0,0.07
K2I.PL,0.03,0.08
SWD.PL,0.01,0.12
RMK.PL,-0.0,0.08
AST.PL,0.01,0.17
AGO.PL_9,0.01,0.09
NCL.PL,0.12,0.3
ATC.PL,0.07,0.14
QUB.PL,-0.01,0.14
PKO.PL_9,-0.02,0.1
PAS.PL,-0.02,0.1
APN.PL,0.02,0.08
DNP.PL_4,0.02,0.09
MLG.PL,0.01,0.07
BHW.PL_9,0.02,0.09
GNB.PL_9,-0.08,0.18
SDS.PL,0.12,0.25
MBR.PL,-0.02,0.08
PWX.PL,0.0,0.05
CRM.PL,-0.02,0.09
GMZ.PL,0.02,0.16
PEO.PL_9,-0.02,0.11
DEL.PL,-0.01,0.12
MBK.PL_9,-0.01,0.13
URS.PL,-0.13,0.39
ACP.PL_9,0.01,0.06
CRJ.PL,0.01,0.11
COG.PL,0.06,0.2
SNW.PL,0.0,0.09
NEU.PL,-0.0,0.06
RNK.PL,0.01,0.14
ARH.PL,0.01,0.07
TAR.PL,0.01,0.09
SKT.PL,0.01,0.11
LET.PL,0.01,0.14
CRI.PL,0.01,0.1
HRS.PL,-0.01,0.18
XTP.PL,0.06,0.17
MSZ.PL,0.04,0.09
SUN.PL,0.09,0.16
ABS.PL,0.0,0.07
LES.PL,-0.06,0.19
PZU.PL_4,0.01,0.1
CCC.PL_9,-0.02,0.13
XTB.PL_9,0.06,0.12
SPL.PL_4,0.0,0.11
PCF.PL,-0.01,0.1
KBJ.PL,0.02,0.08
MDI.PL,-0.02,0.09
PRT.PL,-0.01,0.12
LVC.PL_9,0.02,0.07
PEN.PL,0.04,0.13
CPD.PL,0.02,0.16
ASE.PL,0.01,0.08
MIL.PL_9,-0.03,0.13
FRO.PL,-0.01,0.08
BST.PL,-0.01,0.04
VRC.PL,0.02,0.08
PRF.PL,,
VIN.PL,-0.0,0.05
CPR.PL,-0.02,0.1
ASB.PL,0.05,0.17
BAH.PL,-0.0,0.13
TBL.PL,-0.05,0.08
WAT.PL,0.06,0.47
AMB.PL,0.01,0.05
OTSL.PL,0.1,0.17
STF.PL,0.0,0.09
CFI.PL,-0.01,0.07
EEE.PL,-0.03,0.14
IST.PL,-0.0,0.19
11B.PL,0.01,0.05
SGN.PL,0.11,0.17
INT.PL,-0.01,0.07
PLW.PL,0.01,0.13
IMC.PL,-0.02,0.08
WPL.PL,-0.0,0.07
PBX.PL,-0.0,0.1
BNPPPL.PL,-0.02,0.07
RAE.PL,0.01,0.21
ZEN.PL,0.01,0.35
GTN.PL_9,-0.03,0.23
ENG.PL_9,0.01,0.05
PXM.PL_9,0.02,0.14
IMS.PL,0.0,0.1
MCI.PL,0.0,0.07
ENG.PL_4,0.01,0.05
VGO.PL,-0.01,0.08
PNT.PL,-0.01,0.14
ECH.PL_9,0.0,0.07
INK.PL,0.0,0.08
BRA.PL,-0.01,0.12
KPX.PL,-0.02,0.11
MPY.PL,-0.04,0.16
PHN.PL,-0.01,0.06
DCR.PL,0.0,0.05
OPN.PL,-0.01,0.09
STX.PL,-0.02,0.06
GX1.PL,-0.04,0.11
GLC.PL,-0.03,0.05
ART.PL,0.02,0.15
LSR.PL,0.03,0.25
MRB.PL,0.05,0.14
EUC.PL,-0.01,0.31
KGN.PL,0.02,0.08
STS.PL,-0.01,0.18
THD.PL,-0.01,0.11
OEX.PL,0.01,0.07
SCP.PL,0.05,0.22
CDR.PL_4,-0.02,0.13
PGV.PL,0.01,0.34
AUX.PL,,
TEN.PL,-0.06,0.14
F51.PL,-0.02,0.21
RPC.PL,0.01,0.07
ECC.PL,-0.04,0.13
IVO.PL,-0.01,0.16
AWM.PL,-0.05,0.14
IPE.PL,-0.0,0.12
GOP.PL,0.05,0.17
BRS.PL_9,0.06,0.18
LPP.PL_9,0.01,0.18
MDA.PL,-0.04,0.18
GTS.PL,0.02,0.17
IFI.PL,0.01,0.08
SPR.PL,0.05,0.13
KRK.PL,0.0,0.07
ALE.PL_4,0.01,0.13
PTG.PL,0.0,0.1
CAR.PL_9,0.01,0.1
STH.PL,0.0,0.11
PHR.PL,0.0,0.1
PCE.PL,0.01,0.08
DGE.PL,-0.01,0.18
PKP.PL_4,0.03,0.1
LBT.PL,0.0,0.11
KCH.PL,0.01,0.21
STA.PL,0.03,0.11
MAK.PL,0.03,0.06
1AT.PL,0.01,0.09
VTL.PL,-0.07,0.12
